Kod;Nazwa;Miesiące;Wyszczególnienie;Rok;Wartosc;Jednostka miary;Atrybut
0;POLSKA;styczeń;stopa bezrobocia rejestrowanego;2014;13,9;%;
0;POLSKA;styczeń;stopa bezrobocia rejestrowanego;2015;11,9;%;
0;POLSKA;styczeń;stopa bezrobocia rejestrowanego;2016;10,2;%;
0;POLSKA;styczeń;stopa bezrobocia rejestrowanego;2017;8,6;%;
0;POLSKA;luty;stopa bezrobocia rejestrowanego;2014;13,9;%;
0;POLSKA;luty;stopa bezrobocia rejestrowanego;2015;11,9;%;
0;POLSKA;luty;stopa bezrobocia rejestrowanego;2016;10,2;%;
0;POLSKA;luty;stopa bezrobocia rejestrowanego;2017;8,5;%;
0;POLSKA;marzec;stopa bezrobocia rejestrowanego;2014;13,5;%;
0;POLSKA;marzec;stopa bezrobocia rejestrowanego;2015;11,5;%;
0;POLSKA;marzec;stopa bezrobocia rejestrowanego;2016;9,9;%;
0;POLSKA;marzec;stopa bezrobocia rejestrowanego;2017;8,1;%;
0;POLSKA;kwiecień;stopa bezrobocia rejestrowanego;2014;13;%;
0;POLSKA;kwiecień;stopa bezrobocia rejestrowanego;2015;11,1;%;
0;POLSKA;kwiecień;stopa bezrobocia rejestrowanego;2016;9,4;%;
0;POLSKA;kwiecień;stopa bezrobocia rejestrowanego;2017;;%;n
0;POLSKA;maj;stopa bezrobocia rejestrowanego;2014;12,5;%;
0;POLSKA;maj;stopa bezrobocia rejestrowanego;2015;10,7;%;
0;POLSKA;maj;stopa bezrobocia rejestrowanego;2016;9,1;%;
0;POLSKA;maj;stopa bezrobocia rejestrowanego;2017;;%;n
0;POLSKA;czerwiec;stopa bezrobocia rejestrowanego;2014;12;%;
0;POLSKA;czerwiec;stopa bezrobocia rejestrowanego;2015;10,2;%;
0;POLSKA;czerwiec;stopa bezrobocia rejestrowanego;2016;8,7;%;
0;POLSKA;czerwiec;stopa bezrobocia rejestrowanego;2017;;%;n
0;POLSKA;lipiec;stopa bezrobocia rejestrowanego;2014;11,8;%;
0;POLSKA;lipiec;stopa bezrobocia rejestrowanego;2015;10;%;
0;POLSKA;lipiec;stopa bezrobocia rejestrowanego;2016;8,5;%;
0;POLSKA;lipiec;stopa bezrobocia rejestrowanego;2017;;%;n
0;POLSKA;sierpień;stopa bezrobocia rejestrowanego;2014;11,7;%;
0;POLSKA;sierpień;stopa bezrobocia rejestrowanego;2015;9,9;%;
0;POLSKA;sierpień;stopa bezrobocia rejestrowanego;2016;8,4;%;
0;POLSKA;sierpień;stopa bezrobocia rejestrowanego;2017;;%;n
0;POLSKA;wrzesień;stopa bezrobocia rejestrowanego;2014;11,5;%;
0;POLSKA;wrzesień;stopa bezrobocia rejestrowanego;2015;9,7;%;
0;POLSKA;wrzesień;stopa bezrobocia rejestrowanego;2016;8,3;%;
0;POLSKA;wrzesień;stopa bezrobocia rejestrowanego;2017;;%;n
0;POLSKA;październik;stopa bezrobocia rejestrowanego;2014;11,3;%;
0;POLSKA;październik;stopa bezrobocia rejestrowanego;2015;9,6;%;
0;POLSKA;październik;stopa bezrobocia rejestrowanego;2016;8,2;%;
0;POLSKA;październik;stopa bezrobocia rejestrowanego;2017;;%;n
0;POLSKA;listopad;stopa bezrobocia rejestrowanego;2014;11,4;%;
0;POLSKA;listopad;stopa bezrobocia rejestrowanego;2015;9,6;%;
0;POLSKA;listopad;stopa bezrobocia rejestrowanego;2016;8,2;%;
0;POLSKA;listopad;stopa bezrobocia rejestrowanego;2017;;%;n
0;POLSKA;grudzień;stopa bezrobocia rejestrowanego;2014;11,4;%;
0;POLSKA;grudzień;stopa bezrobocia rejestrowanego;2015;9,7;%;
0;POLSKA;grudzień;stopa bezrobocia rejestrowanego;2016;8,3;%;
0;POLSKA;grudzień;stopa bezrobocia rejestrowanego;2017;;%;n
200000;DOLNOŚLĄSKIE;styczeń;stopa bezrobocia rejestrowanego;2014;13,6;%;
200000;DOLNOŚLĄSKIE;styczeń;stopa bezrobocia rejestrowanego;2015;10,9;%;
200000;DOLNOŚLĄSKIE;styczeń;stopa bezrobocia rejestrowanego;2016;8,9;%;
200000;DOLNOŚLĄSKIE;styczeń;stopa bezrobocia rejestrowanego;2017;7,6;%;
200000;DOLNOŚLĄSKIE;luty;stopa bezrobocia rejestrowanego;2014;13,6;%;
200000;DOLNOŚLĄSKIE;luty;stopa bezrobocia rejestrowanego;2015;10,9;%;
200000;DOLNOŚLĄSKIE;luty;stopa bezrobocia rejestrowanego;2016;9;%;
200000;DOLNOŚLĄSKIE;luty;stopa bezrobocia rejestrowanego;2017;7,5;%;
200000;DOLNOŚLĄSKIE;marzec;stopa bezrobocia rejestrowanego;2014;13,2;%;
200000;DOLNOŚLĄSKIE;marzec;stopa bezrobocia rejestrowanego;2015;10,6;%;
200000;DOLNOŚLĄSKIE;marzec;stopa bezrobocia rejestrowanego;2016;8,8;%;
200000;DOLNOŚLĄSKIE;marzec;stopa bezrobocia rejestrowanego;2017;7,2;%;
200000;DOLNOŚLĄSKIE;kwiecień;stopa bezrobocia rejestrowanego;2014;12,7;%;
200000;DOLNOŚLĄSKIE;kwiecień;stopa bezrobocia rejestrowanego;2015;10,2;%;
200000;DOLNOŚLĄSKIE;kwiecień;stopa bezrobocia rejestrowanego;2016;8,4;%;
200000;DOLNOŚLĄSKIE;kwiecień;stopa bezrobocia rejestrowanego;2017;;%;n
200000;DOLNOŚLĄSKIE;maj;stopa bezrobocia rejestrowanego;2014;12,1;%;
200000;DOLNOŚLĄSKIE;maj;stopa bezrobocia rejestrowanego;2015;9,7;%;
200000;DOLNOŚLĄSKIE;maj;stopa bezrobocia rejestrowanego;2016;8;%;
200000;DOLNOŚLĄSKIE;maj;stopa bezrobocia rejestrowanego;2017;;%;n
200000;DOLNOŚLĄSKIE;czerwiec;stopa bezrobocia rejestrowanego;2014;11,6;%;
200000;DOLNOŚLĄSKIE;czerwiec;stopa bezrobocia rejestrowanego;2015;9,2;%;
200000;DOLNOŚLĄSKIE;czerwiec;stopa bezrobocia rejestrowanego;2016;7,7;%;
200000;DOLNOŚLĄSKIE;czerwiec;stopa bezrobocia rejestrowanego;2017;;%;n
200000;DOLNOŚLĄSKIE;lipiec;stopa bezrobocia rejestrowanego;2014;11,4;%;
200000;DOLNOŚLĄSKIE;lipiec;stopa bezrobocia rejestrowanego;2015;9;%;
200000;DOLNOŚLĄSKIE;lipiec;stopa bezrobocia rejestrowanego;2016;7,5;%;
200000;DOLNOŚLĄSKIE;lipiec;stopa bezrobocia rejestrowanego;2017;;%;n
200000;DOLNOŚLĄSKIE;sierpień;stopa bezrobocia rejestrowanego;2014;11,2;%;
200000;DOLNOŚLĄSKIE;sierpień;stopa bezrobocia rejestrowanego;2015;8,8;%;
200000;DOLNOŚLĄSKIE;sierpień;stopa bezrobocia rejestrowanego;2016;7,4;%;
200000;DOLNOŚLĄSKIE;sierpień;stopa bezrobocia rejestrowanego;2017;;%;n
200000;DOLNOŚLĄSKIE;wrzesień;stopa bezrobocia rejestrowanego;2014;10,9;%;
200000;DOLNOŚLĄSKIE;wrzesień;stopa bezrobocia rejestrowanego;2015;8,6;%;
200000;DOLNOŚLĄSKIE;wrzesień;stopa bezrobocia rejestrowanego;2016;7,3;%;
200000;DOLNOŚLĄSKIE;wrzesień;stopa bezrobocia rejestrowanego;2017;;%;n
200000;DOLNOŚLĄSKIE;październik;stopa bezrobocia rejestrowanego;2014;10,6;%;
200000;DOLNOŚLĄSKIE;październik;stopa bezrobocia rejestrowanego;2015;8,5;%;
200000;DOLNOŚLĄSKIE;październik;stopa bezrobocia rejestrowanego;2016;7,2;%;
200000;DOLNOŚLĄSKIE;październik;stopa bezrobocia rejestrowanego;2017;;%;n
200000;DOLNOŚLĄSKIE;listopad;stopa bezrobocia rejestrowanego;2014;10,6;%;
200000;DOLNOŚLĄSKIE;listopad;stopa bezrobocia rejestrowanego;2015;8,5;%;
