Kod;Nazwa;Wyszczególnienie;Rok;Wartosc;Jednostka miary
0;POLSKA;ogółem;2014;4003,99;zł
0;POLSKA;ogółem;2015;4150,88;zł
200000;DOLNOŚLĄSKIE;ogółem;2014;4042,86;zł
200000;DOLNOŚLĄSKIE;ogółem;2015;4204,24;zł
400000;KUJAWSKO-POMORSKIE;ogółem;2014;3439,06;zł
400000;KUJAWSKO-POMORSKIE;ogółem;2015;3540,25;zł
600000;LUBELSKIE;ogółem;2014;3605,03;zł
600000;LUBELSKIE;ogółem;2015;3699,48;zł
800000;LUBUSKIE;ogółem;2014;3425,38;zł
800000;LUBUSKIE;ogółem;2015;3567,6;zł
1000000;ŁÓDZKIE;ogółem;2014;3618,63;zł
1000000;ŁÓDZKIE;ogółem;2015;3790,76;zł
1200000;MAŁOPOLSKIE;ogółem;2014;3700,06;zł
1200000;MAŁOPOLSKIE;ogółem;2015;3906,96;zł
1400000;MAZOWIECKIE;ogółem;2014;4927,34;zł
1400000;MAZOWIECKIE;ogółem;2015;5094,46;zł
1600000;OPOLSKIE;ogółem;2014;3632,84;zł
1600000;OPOLSKIE;ogółem;2015;3793,28;zł
1800000;PODKARPACKIE;ogółem;2014;3412,3;zł
1800000;PODKARPACKIE;ogółem;2015;3527,62;zł
2000000;PODLASKIE;ogółem;2014;3530,17;zł
2000000;PODLASKIE;ogółem;2015;3647,08;zł
2200000;POMORSKIE;ogółem;2014;4011,59;zł
2200000;POMORSKIE;ogółem;2015;4132,13;zł
2400000;ŚLĄSKIE;ogółem;2014;4100,51;zł
2400000;ŚLĄSKIE;ogółem;2015;4221,45;zł
2600000;ŚWIĘTOKRZYSKIE;ogółem;2014;3435,93;zł
2600000;ŚWIĘTOKRZYSKIE;ogółem;2015;3580,62;zł
2800000;WARMIŃSKO-MAZURSKIE;ogółem;2014;3386,96;zł
2800000;WARMIŃSKO-MAZURSKIE;ogółem;2015;3495,02;zł
3000000;WIELKOPOLSKIE;ogółem;2014;3597,69;zł
3000000;WIELKOPOLSKIE;ogółem;2015;3728,52;zł
3200000;ZACHODNIOPOMORSKIE;ogółem;2014;3649,27;zł
3200000;ZACHODNIOPOMORSKIE;ogółem;2015;3793,68;zł
0;POLSKA;ogółem;2016;3927,72;zł
1000000;ŁÓDZKIE;ogółem;2016;3859,56;zł
1400000;MAZOWIECKIE;ogółem;2016;5186,93;zł
1200000;MAŁOPOLSKIE;ogółem;2016;3977,87;zł
2400000;ŚLĄSKIE;ogółem;2016;4298,07;zł
0600000;LUBELSKIE;ogółem;2016;3766,63;zł
1800000;PODKARPACKIE;ogółem;2016;3591,65;zł
2000000;PODLASKIE;ogółem;2016;3713,28;zł
2600000;ŚWIĘTOKRZYSKIE;ogółem;2016;3645,61;zł
0800000;LUBUSKIE;ogółem;2016;3632,35;zł
3000000;WIELKOPOLSKIE;ogółem;2016;3796,19;zł
3200000;ZACHODNIOPOMORSKIE;ogółem;2016;3862,54;zł
0200000;DOLNOŚLĄSKIE;ogółem;2016;4280,55;zł
1600000;OPOLSKIE;ogółem;2016;3862,13;zł
0400000;KUJAWSKO-POMORSKIE;ogółem;2016;3604,51;zł
2200000;POMORSKIE;ogółem;2016;4207,13;zł
2800000;WARMIŃSKO-MAZURSKIE;ogółem;2016;3558,46;zł
