rok;wojewodztwo;powiat;gmina;teryt
1999;dolnośląskie;bolesławiecki;gromadka;20103
1999;dolnośląskie;bolesławiecki;bolesławiec;20101
1999;dolnośląskie;bolesławiecki;bolesławiec;20102
1999;dolnośląskie;bolesławiecki;osiecznica;20105
1999;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
1999;dolnośląskie;bolesławiecki;nowogrodziec;20104
2000;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2000;dolnośląskie;bolesławiecki;bolesławiec;20101
2000;dolnośląskie;bolesławiecki;bolesławiec;20102
2000;dolnośląskie;bolesławiecki;gromadka;20103
2000;dolnośląskie;bolesławiecki;nowogrodziec;20104
2000;dolnośląskie;bolesławiecki;osiecznica;20105
2001;dolnośląskie;bolesławiecki;bolesławiec;20101
2001;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2001;dolnośląskie;bolesławiecki;osiecznica;20105
2001;dolnośląskie;bolesławiecki;nowogrodziec;20104
2001;dolnośląskie;bolesławiecki;gromadka;20103
2001;dolnośląskie;bolesławiecki;bolesławiec;20102
2002;dolnośląskie;bolesławiecki;gromadka;20103
2002;dolnośląskie;bolesławiecki;osiecznica;20105
2002;dolnośląskie;bolesławiecki;nowogrodziec;20104
2002;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2002;dolnośląskie;bolesławiecki;bolesławiec;20102
2002;dolnośląskie;bolesławiecki;bolesławiec;20101
2003;dolnośląskie;bolesławiecki;bolesławiec;20102
2003;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2003;dolnośląskie;bolesławiecki;osiecznica;20105
2003;dolnośląskie;bolesławiecki;bolesławiec;20101
2003;dolnośląskie;bolesławiecki;nowogrodziec;20104
2003;dolnośląskie;bolesławiecki;gromadka;20103
2004;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2004;dolnośląskie;bolesławiecki;gromadka;20103
2004;dolnośląskie;bolesławiecki;nowogrodziec;20104
2004;dolnośląskie;bolesławiecki;osiecznica;20105
2004;dolnośląskie;bolesławiecki;bolesławiec;20101
2004;dolnośląskie;bolesławiecki;bolesławiec;20102
2005;dolnośląskie;bolesławiecki;osiecznica;20105
2005;dolnośląskie;bolesławiecki;gromadka;20103
2005;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2005;dolnośląskie;bolesławiecki;bolesławiec;20102
2005;dolnośląskie;bolesławiecki;bolesławiec;20101
2005;dolnośląskie;bolesławiecki;nowogrodziec;20104
2006;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2006;dolnośląskie;bolesławiecki;gromadka;20103
2006;dolnośląskie;bolesławiecki;nowogrodziec;20104
2006;dolnośląskie;bolesławiecki;bolesławiec;20101
2006;dolnośląskie;bolesławiecki;bolesławiec;20102
2006;dolnośląskie;bolesławiecki;osiecznica;20105
2007;dolnośląskie;bolesławiecki;nowogrodziec;20104
2007;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2007;dolnośląskie;bolesławiecki;osiecznica;20105
2007;dolnośląskie;bolesławiecki;bolesławiec;20102
2007;dolnośląskie;bolesławiecki;bolesławiec;20101
2007;dolnośląskie;bolesławiecki;gromadka;20103
2008;dolnośląskie;bolesławiecki;bolesławiec;20101
2008;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2008;dolnośląskie;bolesławiecki;osiecznica;20105
2008;dolnośląskie;bolesławiecki;bolesławiec;20102
2008;dolnośląskie;bolesławiecki;nowogrodziec;20104
2008;dolnośląskie;bolesławiecki;gromadka;20103
2009;dolnośląskie;bolesławiecki;gromadka;20103
2009;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2009;dolnośląskie;bolesławiecki;osiecznica;20105
2009;dolnośląskie;bolesławiecki;bolesławiec;20102
2009;dolnośląskie;bolesławiecki;bolesławiec;20101
2009;dolnośląskie;bolesławiecki;nowogrodziec;20104
2010;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2010;dolnośląskie;bolesławiecki;gromadka;20103
2010;dolnośląskie;bolesławiecki;nowogrodziec;20104
2010;dolnośląskie;bolesławiecki;bolesławiec;20101
2010;dolnośląskie;bolesławiecki;bolesławiec;20102
2010;dolnośląskie;bolesławiecki;osiecznica;20105
2011;dolnośląskie;bolesławiecki;nowogrodziec;20104
