ROK;PNA;GMINA;POWIAT;WOJEWODZTWO
2015;00-001;Warszawa;Warszawa;mazowieckie
2015;00-001;Warszawa;Warszawa;mazowieckie
2015;00-001;Warszawa;Warszawa;mazowieckie
2015;00-001;Warszawa;Warszawa;mazowieckie
2015;00-024;Warszawa;Warszawa;mazowieckie
2015;00-096;Warszawa;Warszawa;mazowieckie
2015;00-096;Warszawa;Warszawa;mazowieckie
2015;00-191;Warszawa;Warszawa;mazowieckie
2015;00-198;Warszawa;Warszawa;mazowieckie
2015;00-273;Warszawa;Warszawa;mazowieckie
2015;00-343;Warszawa;Warszawa;mazowieckie
2015;00-365;Warszawa;Warszawa;mazowieckie
2015;00-400;Warszawa;Warszawa;mazowieckie
2015;00-404;Warszawa;Warszawa;mazowieckie
2015;00-504;Warszawa;Warszawa;mazowieckie
2015;00-504;Warszawa;Warszawa;mazowieckie
2015;00-577;Warszawa;Warszawa;mazowieckie
2015;00-587;Warszawa;Warszawa;mazowieckie
2015;00-646;Warszawa;Warszawa;mazowieckie
2015;00-646;Warszawa;Warszawa;mazowieckie
2015;00-646;Warszawa;Warszawa;mazowieckie
2015;00-694;Warszawa;Warszawa;mazowieckie
2015;00-694;Warszawa;Warszawa;mazowieckie
2015;00-694;Warszawa;Warszawa;mazowieckie
2015;00-694;Warszawa;Warszawa;mazowieckie
2015;00-723;Warszawa;Warszawa;mazowieckie
2015;00-723;Warszawa;Warszawa;mazowieckie
2015;00-726;Warszawa;Warszawa;mazowieckie
2015;00-782;Warszawa;Warszawa;mazowieckie
2015;00-800;Warszawa;Warszawa;mazowieckie
2015;00-837;Warszawa;Warszawa;mazowieckie
2015;00-888;Warszawa;Warszawa;mazowieckie
2015;00-890;Warszawa;Warszawa;mazowieckie
2015;00-896;Warszawa;Warszawa;mazowieckie
2015;00-901;Warszawa;Warszawa;mazowieckie
2015;00-902;Warszawa;Warszawa;mazowieckie
2015;00-903;Warszawa;Warszawa;mazowieckie
2015;00-904;Warszawa;Warszawa;mazowieckie
2015;00-905;Warszawa;Warszawa;mazowieckie
2015;00-908;Warszawa;Warszawa;mazowieckie
2015;00-909;Warszawa;Warszawa;mazowieckie
2015;00-910;Warszawa;Warszawa;mazowieckie
2015;00-910;Warszawa;Warszawa;mazowieckie
2015;00-911;Warszawa;Warszawa;mazowieckie
2015;00-912;Warszawa;Warszawa;mazowieckie
2015;00-916;Warszawa;Warszawa;mazowieckie
2015;00-918;Warszawa;Warszawa;mazowieckie
2015;00-920;Warszawa;Warszawa;mazowieckie
2015;00-921;Warszawa;Warszawa;mazowieckie
2015;00-922;Warszawa;Warszawa;mazowieckie
2015;00-924;Warszawa;Warszawa;mazowieckie
2015;00-925;Warszawa;Warszawa;mazowieckie
2015;00-926;Warszawa;Warszawa;mazowieckie
2015;00-927;Warszawa;Warszawa;mazowieckie
2015;00-928;Warszawa;Warszawa;mazowieckie
2015;00-930;Warszawa;Warszawa;mazowieckie
2015;00-950;Warszawa;Warszawa;mazowieckie
2015;00-951;Warszawa;Warszawa;mazowieckie
2015;00-952;Warszawa;Warszawa;mazowieckie
2015;00-954;Warszawa;Warszawa;mazowieckie
2015;00-955;Warszawa;Warszawa;mazowieckie
2015;00-956;Warszawa;Warszawa;mazowieckie
2015;00-957;Warszawa;Warszawa;mazowieckie
2015;00-958;Warszawa;Warszawa;mazowieckie
2015;00-959;Warszawa;Warszawa;mazowieckie
2015;00-961;Warszawa;Warszawa;mazowieckie
2015;00-962;Warszawa;Warszawa;mazowieckie
2015;00-963;Warszawa;Warszawa;mazowieckie
2015;00-964;Warszawa;Warszawa;mazowieckie
2015;00-965;Warszawa;Warszawa;mazowieckie
2015;00-967;Warszawa;Warszawa;mazowieckie
2015;00-968;Warszawa;Warszawa;mazowieckie
2015;00-970;Warszawa;Warszawa;mazowieckie
2015;00-972;Warszawa;Warszawa;mazowieckie
2015;00-973;Warszawa;Warszawa;mazowieckie
2015;00-974;Warszawa;Warszawa;mazowieckie
2015;00-975;Warszawa;Warszawa;mazowieckie
2015;00-976;Warszawa;Warszawa;mazowieckie
2015;00-978;Warszawa;Warszawa;mazowieckie
2015;00-981;Warszawa;Warszawa;mazowieckie
2015;00-983;Warszawa;Warszawa;mazowieckie
2015;00-987;Warszawa;Warszawa;mazowieckie
2015;00-989;Warszawa;Warszawa;mazowieckie
2015;00-991;Warszawa;Warszawa;mazowieckie
2015;00-993;Warszawa;Warszawa;mazowieckie
2015;00-996;Warszawa;Warszawa;mazowieckie
2015;00-997;Warszawa;Warszawa;mazowieckie
2015;00-998;Warszawa;Warszawa;mazowieckie
2015;01-007;Warszawa;Warszawa;mazowieckie
2015;01-039;Warszawa;Warszawa;mazowieckie
2015;01-124;Warszawa;Warszawa;mazowieckie
2015;01-125;Warszawa;Warszawa;mazowieckie
2015;01-133;Warszawa;Warszawa;mazowieckie
2015;01-157;Warszawa;Warszawa;mazowieckie
2015;01-164;Warszawa;Warszawa;mazowieckie
2015;01-169;Warszawa;Warszawa;mazowieckie
2015;01-248;Warszawa;Warszawa;mazowieckie
2015;01-260;Warszawa;Warszawa;mazowieckie
2015;01-319;Warszawa;Warszawa;mazowieckie
2015;01-323;Warszawa;Warszawa;mazowieckie
2015;01-380;Warszawa;Warszawa;mazowieckie
2015;01-380;Warszawa;Warszawa;mazowieckie
2015;01-392;Warszawa;Warszawa;mazowieckie
2015;01-393;Warszawa;Warszawa;mazowieckie
2015;01-421;Warszawa;Warszawa;mazowieckie
2015;01-460;Warszawa;Warszawa;mazowieckie
2015;01-496;Warszawa;Warszawa;mazowieckie
2015;01-499;Warszawa;Warszawa;mazowieckie
2015;01-499;Warszawa;Warszawa;mazowieckie
2015;01-499;Warszawa;Warszawa;mazowieckie
2015;01-547;Warszawa;Warszawa;mazowieckie
2015;01-583;Warszawa;Warszawa;mazowieckie
2015;01-628;Warszawa;Warszawa;mazowieckie
2015;01-680;Warszawa;Warszawa;mazowieckie
2015;01-748;Warszawa;Warszawa;mazowieckie
2015;01-783;Warszawa;Warszawa;mazowieckie
2015;01-800;Warszawa;Warszawa;mazowieckie
2015;01-837;Warszawa;Warszawa;mazowieckie
2015;01-837;Warszawa;Warszawa;mazowieckie
2015;01-847;Warszawa;Warszawa;mazowieckie
2015;01-875;Warszawa;Warszawa;mazowieckie
2015;01-878;Warszawa;Warszawa;mazowieckie
2015;01-880;Warszawa;Warszawa;mazowieckie
2015;01-882;Warszawa;Warszawa;mazowieckie
2015;01-888;Warszawa;Warszawa;mazowieckie
2015;01-900;Warszawa;Warszawa;mazowieckie
2015;01-906;Warszawa;Warszawa;mazowieckie
2015;01-945;Warszawa;Warszawa;mazowieckie
2015;01-999;Warszawa;Warszawa;mazowieckie
2015;02-035;Warszawa;Warszawa;mazowieckie
2015;02-100;Warszawa;Warszawa;mazowieckie
2015;02-105;Warszawa;Warszawa;mazowieckie
2015;02-108;Warszawa;Warszawa;mazowieckie
2015;02-126;Warszawa;Warszawa;mazowieckie
2015;02-200;Warszawa;Warszawa;mazowieckie
2015;02-218;Warszawa;Warszawa;mazowieckie
2015;02-275;Warszawa;Warszawa;mazowieckie
2015;02-303;Warszawa;Warszawa;mazowieckie
2015;02-344;Warszawa;Warszawa;mazowieckie
2015;02-363;Warszawa;Warszawa;mazowieckie
2015;02-363;Warszawa;Warszawa;mazowieckie
2015;02-363;Warszawa;Warszawa;mazowieckie
2015;02-421;Warszawa;Warszawa;mazowieckie
2015;02-474;Warszawa;Warszawa;mazowieckie
2015;02-477;Warszawa;Warszawa;mazowieckie
2015;02-495;Warszawa;Warszawa;mazowieckie
2015;02-496;Warszawa;Warszawa;mazowieckie
