rok;teryt;powiat;wojewodztwo;pow_grodzki
2010;1608;oleski;opolskie;0
2010;413;sępoleński;kujawsko-pomorskie;0
2010;1863;Rzeszów;podkarpackie;1
2010;2861;Elbląg;warmińsko-mazurskie;1
2010;264;Wrocław;dolnośląskie;1
2010;1807;krośnieński;podkarpackie;0
2010;2804;elbląski;warmińsko-mazurskie;0
2010;416;tucholski;kujawsko-pomorskie;0
2010;619;włodawski;lubelskie;0
2010;1407;kozienicki;mazowieckie;0
2010;1416;ostrowski;mazowieckie;0
2010;2401;będziński;śląskie;0
2010;210;lubański;dolnośląskie;0
2010;219;świdnicki;dolnośląskie;0
2010;2263;Słupsk;pomorskie;1
2010;2403;cieszyński;śląskie;0
2010;3262;Szczecin;zachodniopomorskie;1
2010;3204;goleniowski;zachodniopomorskie;0
2010;2475;Sosnowiec;śląskie;1
2010;804;nowosolski;lubuskie;0
2010;2817;szczycieński;warmińsko-mazurskie;0
2010;1801;bieszczadzki;podkarpackie;0
2010;1812;niżański;podkarpackie;0
2010;2604;kielecki;świętokrzyskie;0
2010;3211;policki;zachodniopomorskie;0
2009;1407;kozienicki;mazowieckie;0
2009;2401;będziński;śląskie;0
2009;210;lubański;dolnośląskie;0
2009;219;świdnicki;dolnośląskie;0
2009;2263;Słupsk;pomorskie;1
2009;2403;cieszyński;śląskie;0
2009;3262;Szczecin;zachodniopomorskie;1
2009;1213;oświęcimski;małopolskie;0
2009;2402;bielski;śląskie;0
2009;1464;Siedlce;mazowieckie;1
2009;3062;Konin;wielkopolskie;1
2009;2417;żywiecki;śląskie;0
2009;262;Legnica;dolnośląskie;1
2009;2819;węgorzewski;warmińsko-mazurskie;0
2009;2262;Gdynia;pomorskie;1
2009;3215;szczecinecki;zachodniopomorskie;0
2009;2468;Jaworzno;śląskie;1
2009;2808;kętrzyński;warmińsko-mazurskie;0
2009;2215;wejherowski;pomorskie;0
2009;2001;augustowski;podlaskie;0
2009;1217;tatrzański;małopolskie;0
2009;1405;grodziski;mazowieckie;0
2009;2463;Chorzów;śląskie;1
2009;3209;koszaliński;zachodniopomorskie;0
2009;601;bialski;lubelskie;0
2009;2816;piski;warmińsko-mazurskie;0
2009;3202;choszczeński;zachodniopomorskie;0
