KIERUNEK;OBSZAR_KOD;OBSZAR;DZIEDZINA_KOD;DZIEDZINA;DYSCYPLINA_KOD;DYSCYPLINA
5944;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
5947;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
5948;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
5949;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
5951;6;obszar nauk ścisłych;15;dziedzina nauk chemicznych;70;chemia
5952;6;obszar nauk ścisłych;15;dziedzina nauk chemicznych;70;chemia
5954;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
5955;0;NA;0;NA;0;NA
5956;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
5957;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
5958;0;NA;0;NA;0;NA
5961;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
5962;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
5963;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
5964;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
5982;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;78;matematyka
5983;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;78;matematyka
5984;0;NA;0;NA;0;NA
5985;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;77;informatyka
5986;6;obszar nauk ścisłych;17;dziedzina nauk matematycznych;77;informatyka
5987;0;NA;0;NA;0;NA
5990;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
5991;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
5992;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
5993;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;54;nauki o zarządzaniu
5995;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
5996;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
5997;0;NA;0;NA;0;NA
5998;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
5999;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6000;5;obszar nauk społecznych;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6002;0;NA;0;NA;0;NA
6003;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6004;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;9;kulturoznawstwo
6005;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;9;kulturoznawstwo
6006;0;NA;0;NA;0;NA
6007;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6008;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6009;0;NA;0;NA;0;NA
6010;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6011;99;studia międzyobszarowe;99;studia międzydziedzinowe;999;studia interdyscyplinarne
6012;0;NA;0;NA;0;NA
6013;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6014;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6015;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6016;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;999;studia interdyscyplinarne
6022;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
6023;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;53;finanse
6024;0;NA;0;NA;0;NA
6025;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6026;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6027;0;NA;0;NA;0;NA
6028;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6029;5;obszar nauk społecznych;12;dziedzina nauk ekonomicznych;52;ekonomia
6031;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;16;nauki o sztuce
6032;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;16;nauki o sztuce
6033;1;obszar nauk humanistycznych;1;dziedzina nauk humanistycznych;3;bibliologia i informatologia
